Name,Position,,,Points,,,PPG,,,'FG,,,FG%,,,'2pt,,,2p%,,,'3pt,,,3p%,,,'FT,,,FT%,,,OFF,,,OFFPG,,,DEF,,,DEFPG,,,REB,,,RPG,,,AST,,,APG,,,STL,,,SPG,,,BLK,,,BPG,,,TO,,,TOPG,,,MIN,,,Ave Mins,,,,Point Guard
D. Ududo,Center,2,2,0,2,3,1.8,'1-2,'0-1,'0-0,'1-2,'1-3,37.50%,'1-2,'0-1,'0-0,'1-1,'0-0,50.00%,'0-0,'0-0,'0-0,'0-1,'0-0,0.00%,'0-0,'2-2,'0-0,'0-0,'0-0,100.00%,3,2,0,0,0,1,0,0,1,0,1,0.4,3,2,1,0,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,1,0,0,0,0,0.2,03:35.0,05:27.0,02:07.0,06:33.0,03:10.0,04:10.0,,,,
J. Felicilda,Point Guard,0,0,0,4,2,1.2,'0-0,'0-0,'0-1,'2-2,'1-1,75.00%,'0-0,'0-0,'0-0,'2-2,'1-1,100.00%,'0-0,'0-0,'0-1,'0-0,'0-1,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,1,0,0,0,2,0.6,1,0,0,1,1,0.6,2,0,0,1,3,1.2,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,1,0,0.2,04:05.0,01:31.0,05:05.0,08:52.0,09:00.0,05:42.0,,,,
J. Bayla,Shooting Guard,0,0,5,0,0,1,'0-0,'0-2,'1-3,'0-1,'0-1,14.29%,'0-0,'0-1,'1-2,'0-0,'0-0,33.33%,'0-0,'0-0,'0-1,'0-1,'0-1,0.00%,'0-0,'0-0,'3-6,'0-0,'0-0,50.00%,0,0,2,0,0,0.4,1,0,0,0,0,0.2,1,0,2,0,0,0.6,0,0,1,0,0,0.2,0,0,3,0,0,0.6,0,0,0,0,0,0,0,0,0,1,1,0.4,03:34.0,05:59.0,20:14.0,12:22.0,12:22.0,10:54.0,,,,
S. Torculas,Small Forward,0,2,7,0,2,2.2,'0-2,'1-2,'2-4,'0-0,'1-2,40.00%,'0-1,'1-2,'1-2,'0-0,'1-1,50.00%,'0-1,'0-0,'1-2,'0-0,'0-0,33.33%,'0-0,'0-0,'2-2,'0-0,'0-0,100.00%,0,0,0,0,0,0,0,1,2,1,1,1,0,1,2,1,1,1,0,0,2,0,0,0.4,0,1,0,0,0,0.2,0,0,0,0,0,0,2,1,1,0,0,0.8,04:47.0,04:50.0,14:25.0,02:07.0,02:07.0,05:39.0,,,,
R. Mantua,Shooting Guard,14,14,6,14,3,10.2,'7-8,'6-7,'2-5,'6-7,'1-4,70.97%,'7-7,'4-4,'2-3,'4-4,'1-2,90.00%,'0-1,'2-3,'0-2,'2-3,'0-2,36.36%,'0-1,'0-2,'2-2,'0-2,'1-1,37.50%,1,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0.2,1,0,0,0,0,0.2,2,0,0,0,0,0.4,0,0,0,0,0,0,3,2,2,2,1,2,17:35.0,19:44.0,19:44.0,19:44.0,12:48.0,17:55.0,,,,
M. Erolon,Point Guard,11,5,5,0,5,5.2,'4-9,'2-5,'2-5,'0-5,'2-5,34.48%,'1-2,'1-2,'1-3,'0-0,'1-3,40.00%,'3-7,'1-3,'1-2,'0-5,'1-2,31.58%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,2,0,0,0,0.4,3,2,2,2,2,2.2,3,4,2,2,2,2.6,4,2,2,2,2,2.4,1,3,3,0,3,2,0,0,0,0,0,0,3,3,1,0,1,1.6,19:10.0,12:11.0,12:11.0,16:28.0,12:11.0,14:26.0,,,,
A. Fransman,Small Forward,8,0,5,3,18,6.8,'3-11,'0-0,'2-9,'1-7,'7-17,29.55%,'1-5,'0-0,'1-2,'0-2,'4-7,37.50%,'2-6,'0-0,'1-7,'1-5,'3-10,25.00%,'0-0,'0-0,'1-1,'1-3,'1-1,60.00%,0,0,0,0,1,0.2,7,0,0,2,10,3.8,7,0,0,2,11,4,2,0,0,2,3,1.4,0,0,1,0,1,0.4,0,0,0,2,1,0.6,3,0,0,3,4,2,26:03.0,00:00.0,14:55.0,19:20.0,23:14.0,16:42.0,,,,
J. Yerro,Shooting Guard,5,6,7,4,3,5,'2-7,'2-7,'3-5,'2-9,'1-4,31.25%,'1-4,'0-2,'3-5,'2-2,'1-2,46.67%,'1-3,'2-2,'0-0,'0-7,'0-2,21.43%,'0-2,'0-0,'1-2,'0-0,'1-1,40.00%,0,0,0,0,0,0,4,3,0,3,3,2.6,4,3,0,3,3,2.6,2,1,7,3,3,3.2,1,0,2,0,0,0.6,0,2,0,0,0,0.4,0,2,2,0,0,0.8,21:38.0,26:46.0,30:43.0,22:41.0,22:41.0,24:53.0,,,,
E. Ramos,Small Forward,4,3,3,2,0,2.4,'2-4,'1-7,'1-7,'1-2,'0-0,25.00%,'2-4,'1-5,'1-5,'1-2,'0-0,31.25%,'0-0,'0-2,'0-2,'0-0,'0-0,0.00%,'0-0,'1-2,'1-2,'0-0,'0-0,50.00%,0,2,0,0,0,0.4,0,0,0,1,0,0.2,0,2,0,1,0,0.6,0,2,2,1,0,1,1,0,0,0,0,0.2,0,0,0,0,0,0,0,2,0,0,1,0.6,09:00.0,10:43.0,10:43.0,08:16.0,11:25.0,10:01.0,,,,
M. Barasi Jr,Center,0,0,0,0,0,0,'0-0,'0-0,'0-0,'0-1,'0-3,0.00%,'0-0,'0-0,'0-0,'0-0,'0-3,0.00%,'0-0,'0-0,'0-0,'0-1,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,1,0.2,1,0,0,0,2,0.6,0,0,0,0,1,0.2,0,0,0,0,0,0,1,0,0,2,0,0.6,03:57.0,03:17.0,03:17.0,04:36.0,10:54.0,05:12.0,,,,
