Name,Position,,,Points,,,PPG,,,'FG,,,FG%,,,'2pt,,,2p%,,,'3pt,,,3p%,,,'FT,,,FT%,,,OFF,,,OFFPG,,,DEF,,,DEFPG,,,REB,,,RPG,,,AST,,,APG,,,STL,,,SPG,,,BLK,,,BPG,,,TO,,,TOPG,,,MIN,,,Ave Mins,,,,Point Guard
P. Francisco,Small Forward,0,3,2,0,0,1,'0-1,'1-3,'1-1,'1-3,'0-1,33.33%,'0-0,'0-0,'1-1,'0-0,'0-0,100.00%,'0-1,'1-3,'0-0,'1-3,'0-1,25.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,1,0,1,0,0.4,0,1,0,1,0,0.4,0,2,0,2,0,0.8,0,1,1,1,1,0.8,0,0,0,0,0,0,0,2,0,2,0,0.8,1,1,0,1,0,0.6,04:12.0,10:24.0,11:55.0,10:24.0,03:47.0,08:08.0,,,,
B. Parks,Power Forward,0,0,0,3,3,1.2,'0-0,'0-0,'0-1,'0-0,'1-3,25.00%,'0-0,'0-0,'0-0,'0-0,'1-1,100.00%,'0-0,'0-0,'0-1,'0-0,'0-2,0.00%,'0-0,'0-0,'0-0,'0-0,'1-2,50.00%,0,0,0,0,1,0.2,0,0,0,0,2,0.4,0,0,0,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.6,03:39.0,02:19.0,04:02.0,02:19.0,14:22.0,05:20.0,,,,
J. Pasaol,Point Guard,14,15,11,9,7,11.2,'5-8,'4-9,'4-12,'3-10,'3-7,41.30%,'4-6,'4-8,'4-9,'2-8,'2-3,47.06%,'1-2,'0-1,'0-3,'1-2,'1-2,30.00%,'3-4,'7-10,'1-1,'2-4,'0-1,65.00%,2,2,3,1,1,1.8,5,5,3,0,3,3.2,7,7,6,1,4,5,1,6,4,3,4,3.6,2,1,0,3,2,1.6,0,0,0,0,0,0,1,3,1,0,2,1.4,24:26.0,32:00.0,23:47.0,21:58.0,17:55.0,24:01.0,,,,
M. Konateh,Center,11,16,0,8,12,9.4,'5-11,'4-10,'0-9,'3-11,'4-13,29.63%,'5-11,'3-8,'0-4,'1-4,'2-6,33.33%,'0-0,'1-2,'0-5,'2-7,'2-7,23.81%,'1-3,'7-9,'0-0,'0-0,'2-2,71.43%,8,1,0,0,2,2.2,13,1,0,4,2,4,21,2,0,4,4,6.2,5,0,2,1,4,2.4,2,1,0,2,0,1,1,0,0,0,0,0.2,1,5,5,2,2,3,38:24.0,29:38.0,25:08.0,20:44.0,32:35.0,29:17.0,,,,
J. Bautista,Shooting Guard,8,11,14,4,3,8,'3-9,'5-12,'6-9,'1-7,'1-3,40.00%,'1-6,'5-11,'6-9,'1-7,'1-3,38.89%,'2-3,'0-1,'0-0,'0-0,'0-0,50.00%,'0-0,'1-2,'2-5,'2-2,'1-3,50.00%,2,6,1,5,8,4.4,4,10,18,2,11,9,6,16,19,7,11,11.8,3,3,1,1,1,1.8,1,1,2,2,3,1.8,0,1,0,0,0,0.2,7,1,1,1,2,2.4,29:24.0,35:15.0,38:27.0,20:26.0,33:09.0,31:20.0,,,,
V. Pre,Power Forward,5,15,12,17,20,13.8,'2-6,'5-11,'5-15,'6-17,'9-16,41.54%,'1-4,'3-6,'3-11,'6-10,'9-13,50.00%,'1-2,'2-5,'2-4,'0-7,'0-3,23.81%,'0-0,'3-4,'0-0,'4-4,'2-5,69.23%,0,2,1,2,5,2,3,6,4,12,8,6.6,3,8,5,14,13,8.6,1,2,2,4,0,1.8,0,1,0,1,0,0.4,3,3,0,0,1,1.4,3,4,2,4,1,2.8,32:35.0,34:29.0,34:31.0,31:15.0,33:39.0,33:17.0,,,,
J. Daa,Shooting Guard,4,3,2,2,3,2.8,'1-4,'1-1,'1-6,'1-4,'1-3,27.78%,'1-1,'1-1,'1-4,'1-1,'1-3,50.00%,'0-3,'0-0,'0-2,'0-3,'0-0,0.00%,'2-2,'1-1,'0-0,'0-0,'0-0,100.00%,2,0,0,0,2,0.8,1,3,1,0,2,1.4,3,3,1,1,1,1.8,1,0,0,1,2,0.8,0,0,1,1,2,0.8,0,0,0,0,0,0,0,1,0,1,1,0.6,17:23.0,15:10.0,17:39.0,14:31.0,15:35.0,16:03.0,,,,
R. Montemayor,Point Guard,13,7,0,2,0,4.4,'3-7,'2-4,'0-4,'1-6,'0-1,27.27%,'0-1,'1-1,'0-2,'1-2,'0-0,33.33%,'3-6,'1-3,'0-2,'0-4,'0-1,25.00%,'4-6,'2-2,'0-0,'0-0,'0-0,75.00%,1,1,2,1,1,1.2,2,3,2,1,1,1.8,3,4,4,2,2,3,1,1,1,0,1,0.8,0,0,2,0,0,0.4,1,0,0,0,0,0.2,0,0,2,0,1,0.6,20:13.0,22:57.0,17:47.0,15:23.0,11:00.0,17:28.0,,,,
R. Alforque,Shooting Guard,8,9,11,8,9,9,'4-11,'2-9,'3-7,'3-8,'2-9,31.82%,'4-9,'1-6,'3-6,'3-7,'1-6,35.29%,'0-2,'1-3,'0-1,'0-1,'1-3,20.00%,'0-1,'4-4,'5-5,'2-3,'4-6,78.95%,0,0,1,2,1,0.8,4,2,3,6,7,4.4,4,2,4,8,8,5.2,2,4,4,2,3,3,0,1,0,0,0,0.2,0,0,0,0,0,0,1,3,4,2,2,2.4,23:37.0,21:27.0,22:46.0,22:16.0,29:36.0,23:56.0,,,,
A. Bagunu,Small Forward,2,0,0,3,5,2,'1-3,'0-0,'0-0,'1-2,'2-4,44.44%,'1-1,'0-0,'0-0,'0-1,'2-2,75.00%,'0-2,'0-0,'0-0,'1-1,'0-2,20.00%,'0-0,'0-0,'0-0,'0-0,'1-1,100.00%,1,0,0,0,0,0.2,0,0,0,1,4,1,1,0,0,1,4,1.2,0,0,0,0,3,0.6,0,0,0,0,1,0.2,0,0,0,0,0,0,0,1,0,0,6,1.4,07:36.0,04:16.0,01:59.0,06:21.0,21:32.0,08:20.0,,,,
A. Nakai,Shooting Guard,0,0,0,0,0,0,'0-4,'0-0,'0-0,'0-2,'0-2,0.00%,'0-2,'0-0,'0-0,'0-2,'0-2,0.00%,'0-2,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,1,0,0,1,0,0.4,1,0,0,1,0,0.4,0,0,0,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0.2,04:46.0,00:00.0,01:27.0,04:28.0,02:12.0,02:34.0,,,,
M. Ona,Small Forward,0,2,0,0,0,0.4,'0-0,'1-1,'0-0,'0-1,'0-0,50.00%,'0-0,'1-1,'0-0,'0-1,'0-0,50.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,1,0.2,1,0,0,3,1,1,1,0,0,3,2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01:35.0,04:44.0,05:48.0,10:38.0,05:51.0,05:43.0,,,,
A. Surada,Point Guard,14,10,8,7,9,9.6,'5-8,'3-10,'3-6,'2-3,'4-6,51.52%,'4-6,'2-7,'3-6,'2-2,'4-6,55.56%,'1-2,'1-3,'0-0,'0-1,'0-0,33.33%,'3-4,'3-9,'2-2,'3-4,'1-2,57.14%,2,3,1,3,0,1.8,6,4,3,4,5,4.4,8,7,4,7,5,6.2,3,2,2,4,3,2.8,4,0,0,3,0,1.4,1,2,0,1,1,1,0,3,3,1,2,1.8,25:36.0,25:18.0,17:50.0,19:13.0,22:09.0,22:01.0,,,,
D. Alterado,Power Forward,7,0,0,0,2,1.8,'3-3,'0-0,'0-2,'0-0,'1-2,57.14%,'2-2,'0-0,'0-2,'0-0,'1-2,50.00%,'1-1,'0-0,'0-0,'0-0,'0-0,100.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,5,1,1,0,3,2,0,0,3,0,5,1.6,5,1,4,0,8,3.6,3,0,0,0,3,1.2,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2,09:34.0,04:19.0,08:02.0,00:03.0,11:02.0,06:36.0,,,,
M. Solis,Center,0,0,0,5,4,1.8,'0-1,'0-2,'0-2,'2-6,'2-7,22.22%,'0-0,'0-1,'0-1,'1-1,'2-3,50.00%,'0-1,'0-1,'0-1,'1-5,'0-4,8.33%,'0-0,'0-0,'0-0,'0-2,'0-1,0.00%,0,1,0,0,1,0.4,1,0,0,1,0,0.4,1,1,0,1,1,0.8,0,1,0,3,2,1.2,0,0,1,2,1,0.8,0,0,0,0,0,0,2,1,1,1,1,1.2,04:34.0,05:54.0,04:29.0,16:43.0,12:50.0,08:54.0,,,,
N. Pring,Shooting Guard,7,0,0,9,0,3.2,'3-5,'0-2,'0-3,'3-5,'0-1,37.50%,'2-3,'0-1,'0-1,'0-0,'0-1,33.33%,'1-2,'0-1,'0-2,'3-5,'0-0,40.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,1,0,0,0,0.2,2,0,0,1,1,0.8,2,1,0,1,1,1,1,1,2,1,1,1.2,0,0,1,0,0,0.2,0,0,0,0,0,0,1,0,1,0,0,0.4,12:16.0,08:06.0,16:21.0,08:33.0,06:02.0,10:15.0,,,,
G. Canuto,Small Forward,2,2,9,1,9,4.6,'1-6,'1-2,'4-6,'0-2,'3-5,42.86%,'1-2,'1-2,'3-3,'0-0,'3-3,80.00%,'0-4,'0-0,'1-3,'0-2,'0-2,9.09%,'0-0,'0-0,'0-0,'1-2,'3-3,80.00%,0,0,0,0,0,0,0,1,2,2,2,1.4,0,1,2,2,2,1.4,3,4,4,5,6,4.4,1,3,2,0,1,1.4,0,1,0,0,0,0.2,2,1,4,4,2,2.6,17:11.0,15:53.0,21:39.0,19:58.0,21:46.0,19:17.0,,,,
P. Fabruada,Shooting Guard,4,12,4,16,6,8.4,'1-2,'4-5,'1-4,'4-6,'1-7,45.83%,'1-2,'4-4,'1-3,'4-6,'1-5,55.00%,'0-0,'0-1,'0-1,'0-0,'0-2,0.00%,'2-4,'4-4,'2-4,'8-9,'4-4,80.00%,1,2,3,4,2,2.4,3,1,1,1,3,1.8,4,3,4,5,5,4.2,0,1,0,0,1,0.4,0,1,2,1,2,1.2,0,0,0,0,0,0,2,2,3,0,0,1.4,18:50.0,15:01.0,15:48.0,15:52.0,18:06.0,16:43.0,,,,
K. Pingol,Point Guard,11,6,6,18,12,10.6,'5-7,'2-2,'3-5,'6-9,'5-7,70.00%,'5-6,'1-1,'3-4,'6-9,'3-5,72.00%,'0-1,'1-1,'0-1,'0-0,'2-2,60.00%,'1-1,'1-4,'0-0,'6-6,'0-0,72.73%,2,1,2,2,0,1.4,7,4,0,7,6,4.8,9,5,2,9,6,6.2,4,2,2,2,2,2.4,1,1,1,3,0,1.2,0,2,0,1,1,0.8,2,2,0,1,1,1.2,27:18.0,20:25.0,15:53.0,26:50.0,18:04.0,21:42.0,,,,
C. Clarin,Point Guard,14,12,5,8,12,10.2,'4-14,'4-9,'2-6,'3-13,'4-7,34.69%,'3-5,'1-2,'1-1,'1-4,'2-2,57.14%,'1-9,'3-7,'1-5,'2-9,'2-5,25.71%,'5-6,'1-2,'0-0,'0-0,'2-2,80.00%,1,0,1,1,2,1,5,5,4,2,2,3.6,6,5,5,3,4,4.6,3,2,5,1,2,2.6,2,1,2,0,2,1.4,0,0,1,0,0,0.2,3,3,2,3,7,3.6,30:59.0,31:34.0,19:56.0,22:35.0,28:48.0,26:46.0,,,,
J. Talas,Power Forward,9,0,0,0,3,2.4,'4-8,'0-2,'0-0,'0-4,'1-4,27.78%,'3-3,'0-2,'0-0,'0-1,'1-2,50.00%,'1-5,'0-0,'0-0,'0-3,'0-2,10.00%,'0-0,'0-0,'0-0,'0-0,'1-1,100.00%,1,1,0,1,1,0.8,0,0,1,0,1,0.4,1,1,1,1,2,1.2,1,0,1,0,0,0.4,0,0,0,1,2,0.6,0,0,0,0,0,0,0,0,0,1,0,0.2,11:38.0,03:37.0,08:00.0,13:36.0,12:25.0,09:51.0,,,,
G. Ico,Shooting Guard,3,2,0,2,2,1.8,'1-3,'1-1,'0-1,'1-2,'1-1,50.00%,'1-3,'1-1,'0-1,'1-2,'1-1,50.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'1-1,'0-0,'0-0,'0-0,'0-0,100.00%,1,0,1,1,1,0.8,0,1,0,3,0,0.8,1,1,1,4,1,1.6,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0.8,06:41.0,03:34.0,05:12.0,11:33.0,04:00.0,06:12.0,,,,
K. Cayabyab,Power Forward,5,0,3,9,3,4,'2-10,'0-7,'1-3,'4-10,'1-4,23.53%,'1-4,'0-1,'0-0,'3-7,'1-2,35.71%,'1-6,'0-6,'1-3,'1-3,'0-2,15.00%,'0-0,'0-0,'0-0,'0-0,'1-2,50.00%,2,0,0,3,1,1.2,6,5,4,3,1,3.8,8,5,4,6,2,5,3,0,1,2,2,1.6,0,0,0,1,0,0.2,0,0,0,0,0,0,2,1,2,0,1,1.2,18:39.0,18:06.0,16:42.0,17:56.0,14:03.0,17:05.0,,,,
C. Pagdulagan,Point Guard,21,3,16,9,11,12,'5-15,'1-7,'7-13,'4-13,'5-7,40.00%,'4-10,'1-6,'6-11,'3-8,'4-4,46.15%,'1-5,'0-1,'1-2,'1-5,'1-3,25.00%,'10-13,'1-2,'1-1,'0-0,'0-1,70.59%,4,3,0,2,2,2.2,5,2,3,3,1,2.8,9,5,3,5,3,5,3,1,2,0,3,1.8,3,1,2,0,0,1.2,0,0,0,0,0,0,2,3,3,1,1,2,26:46.0,22:08.0,22:57.0,24:24.0,17:46.0,22:48.0,,,,
M. Villanueva,Shooting Guard,5,3,10,0,0,3.6,'2-5,'1-7,'4-5,'0-1,'0-2,35.00%,'1-1,'0-0,'2-2,'0-0,'0-1,75.00%,'1-4,'1-7,'2-3,'0-1,'0-1,25.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,1,0,0,0,0,0.2,0,2,0,0,0,0.4,1,2,0,0,0,0.6,0,1,0,1,1,0.6,1,0,1,0,0,0.4,0,0,0,0,0,0,1,3,1,0,0,1,06:47.0,14:04.0,16:02.0,04:25.0,03:10.0,08:53.0,,,,
J. Konateh,Center,4,3,6,7,3,4.6,'2-3,'1-2,'3-4,'2-3,'1-2,64.29%,'2-3,'1-2,'3-4,'2-3,'1-2,64.29%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-1,'1-2,'0-2,'3-6,'1-5,31.25%,1,2,2,2,4,2.2,3,4,3,2,2,2.8,4,6,5,4,6,5,0,0,3,1,3,1.4,0,0,0,1,2,0.6,0,0,0,1,0,0.2,2,0,2,1,1,1.2,12:42.0,12:04.0,17:18.0,11:34.0,15:44.0,13:52.0,,,,
A. Betanio,Small Forward,3,5,3,13,4,5.6,'1-3,'2-3,'1-10,'5-6,'2-4,42.31%,'0-0,'2-2,'0-4,'2-3,'2-3,50.00%,'1-3,'0-1,'1-6,'3-3,'0-1,35.71%,'0-0,'1-3,'0-0,'0-0,'0-0,33.33%,0,1,1,0,0,0.4,1,3,6,4,3,3.4,1,4,7,4,3,3.8,1,5,1,2,7,3.2,1,3,2,4,3,2.6,0,0,0,0,0,0,3,4,3,3,2,3,23:45.0,22:13.0,22:24.0,18:26.0,18:59.0,21:09.0,,,,
G. Relliquette,Power Forward,4,3,6,2,0,3,'2-3,'1-4,'1-7,'1-5,'0-2,23.81%,'2-3,'0-1,'0-2,'1-3,'0-1,30.00%,'0-0,'1-3,'1-5,'0-2,'0-1,18.18%,'0-0,'0-0,'3-4,'0-0,'0-0,75.00%,0,0,0,1,0,0.2,1,1,0,0,0,0.4,1,1,0,1,0,0.6,0,0,2,1,0,0.6,0,1,0,3,1,1,0,0,0,0,0,0,1,1,3,3,1,1.8,08:17.0,13:07.0,14:37.0,17:55.0,08:00.0,12:23.0,,,,
C. Maglupay,Shooting Guard,7,2,7,8,5,5.8,'1-3,'1-7,'2-6,'3-7,'2-6,31.03%,'1-3,'1-7,'1-5,'3-6,'1-5,26.92%,'0-0,'0-0,'1-1,'0-1,'1-1,66.67%,'5-10,'0-0,'2-2,'2-4,'0-0,56.25%,8,3,4,8,4,5.4,15,5,4,3,5,6.4,23,8,8,11,9,11.8,0,0,2,2,0,0.8,1,0,2,0,3,1.2,1,2,2,1,1,1.4,5,6,1,0,2,2.8,30:21.0,25:49.0,25:55.0,20:54.0,25:17.0,25:39.0,,,,
K. Pastrana,Point Guard,7,11,22,23,10,14.6,'3-10,'5-14,'8-21,'9-20,'3-9,37.84%,'2-5,'4-9,'5-11,'7-10,'0-0,51.43%,'1-5,'1-5,'3-10,'2-10,'3-9,25.64%,'0-0,'0-0,'3-4,'3-4,'1-1,77.78%,3,2,1,7,2,3,4,6,5,9,4,5.6,7,8,6,16,6,8.6,7,4,2,8,6,5.4,2,3,3,2,3,2.6,1,0,0,1,1,0.6,1,4,3,7,1,3.2,32:30.0,31:35.0,34:30.0,29:18.0,26:10.0,30:48.0,,,,
A. Tacatac,Shooting Guard,0,14,0,8,10,6.4,'0-2,'5-16,'0-6,'3-9,'3-16,22.45%,'0-1,'1-4,'0-0,'1-2,'1-3,30.00%,'0-1,'4-12,'0-6,'2-7,'2-13,20.51%,'0-0,'0-0,'0-0,'0-0,'2-2,100.00%,0,1,0,1,2,0.8,1,1,2,1,2,1.4,1,2,2,2,4,2.2,2,1,1,3,2,1.8,0,1,2,2,3,1.6,0,0,0,0,0,0,2,0,0,1,0,0.6,15:19.0,26:44.0,23:48.0,29:41.0,28:55.0,24:53.0,,,,
A. Soriano,Shooting Guard,8,6,7,12,6,7.8,'2-6,'3-7,'3-12,'5-7,'2-7,38.46%,'0-2,'3-6,'2-5,'3-3,'0-1,47.06%,'2-4,'0-1,'1-7,'2-4,'2-6,31.82%,'2-2,'0-0,'0-0,'0-0,'0-0,100.00%,0,1,1,0,0,0.4,3,6,3,3,4,3.8,3,7,4,3,4,4.2,2,4,4,7,4,4.2,2,7,3,2,0,2.8,0,1,0,0,0,0.2,1,2,2,3,1,1.8,26:31.0,31:02.0,27:20.0,24:10.0,22:37.0,26:20.0,,,,
B. Santos,Point Guard,8,27,12,10,9,13.2,'3-15,'11-21,'6-10,'5-12,'4-10,42.65%,'2-10,'10-17,'6-7,'5-8,'4-7,55.10%,'1-5,'1-4,'0-3,'0-4,'0-3,10.53%,'1-2,'4-4,'0-0,'0-0,'1-2,75.00%,1,0,1,0,1,0.6,3,2,2,0,0,1.4,4,2,3,0,1,2,5,4,2,2,1,2.8,4,2,3,7,2,3.6,1,0,0,0,0,0.2,4,1,6,5,5,4.2,28:19.0,30:59.0,26:24.0,25:11.0,21:05.0,26:23.0,,,,
R. Amatong,Center,0,4,0,0,0,0.8,'0-0,'1-3,'0-1,'0-1,'0-0,20.00%,'0-0,'1-2,'0-0,'0-0,'0-0,50.00%,'0-0,'0-1,'0-1,'0-1,'0-0,0.00%,'0-0,'2-2,'0-0,'0-0,'0-0,100.00%,0,0,0,0,0,0,0,0,0,2,0,0.4,0,0,0,2,0,0.4,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.4,02:38.0,06:01.0,02:33.0,03:54.0,00:51.0,03:11.0,,,,
A. Bron,Power Forward,0,2,6,0,0,1.6,'0-4,'1-6,'1-5,'0-2,'0-2,10.53%,'0-3,'1-4,'0-3,'0-1,'0-2,7.69%,'0-1,'0-2,'1-2,'0-1,'0-0,16.67%,'0-0,'0-0,'3-4,'0-0,'0-0,75.00%,1,2,3,3,1,2,0,2,1,0,0,0.6,1,4,4,3,1,2.6,1,3,1,2,0,1.4,0,4,0,0,1,1,0,0,0,0,0,0,1,0,1,4,1,1.4,14:29.0,20:51.0,20:03.0,11:41.0,13:02.0,16:01.0,,,,
C. Serrano,Small Forward,0,0,0,0,0,0,'0-1,'0-0,'0-1,'0-1,'0-0,0.00%,'0-1,'0-0,'0-1,'0-1,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,1,0,0,0,0.2,0,0,0,1,2,0.6,0,1,0,1,2,0.8,0,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0,0,0,0,1,1,2,0,0,0.8,04:28.0,04:55.0,03:05.0,07:51.0,05:44.0,05:12.0,,,,
A. Pescador,Small Forward,0,0,0,0,5,1,'0-0,'0-3,'0-0,'0-0,'2-7,20.00%,'0-0,'0-0,'0-0,'0-0,'1-2,50.00%,'0-0,'0-3,'0-0,'0-0,'1-5,12.50%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,1,0,0,0,2,0.6,1,0,0,1,0,0.4,2,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0,0,1,0.2,1,0,0,1,0,0.4,00:54.0,01:48.0,00:42.0,02:22.0,10:41.0,03:17.0,,,,
C. Lopez,Center,0,0,0,0,0,0,'0-0,'0-0,'0-0,'0-1,'0-0,0.00%,'0-0,'0-0,'0-0,'0-1,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:42.0,00:37.0,01:12.0,02:08.0,00:00.0,00:55.0,,,,
A. Ambos,Shooting Guard,6,4,2,10,10,6.4,'3-8,'2-8,'1-7,'4-13,'4-8,31.82%,'3-6,'2-5,'1-5,'4-10,'2-4,40.00%,'0-2,'0-3,'0-2,'0-3,'2-4,14.29%,'0-0,'0-0,'0-0,'2-3,'0-0,66.67%,3,4,1,2,4,2.8,3,1,2,4,3,2.6,6,5,3,6,7,5.4,4,2,0,2,0,1.6,2,2,1,0,1,1.2,0,0,1,0,0,0.2,0,3,6,1,1,2.2,18:09.0,17:40.0,22:36.0,27:53.0,20:15.0,21:18.0,,,,
K. Sierba,Power Forward,4,7,7,16,9,8.6,'2-7,'3-10,'3-9,'6-10,'3-7,39.53%,'2-4,'2-5,'2-7,'4-6,'3-4,50.00%,'0-3,'1-5,'1-2,'2-4,'0-3,23.53%,'0-0,'0-0,'0-0,'2-3,'3-4,71.43%,4,1,4,1,3,2.6,2,4,2,2,0,2,6,5,6,3,3,4.6,0,2,4,0,2,1.6,2,0,4,3,2,2.2,0,0,0,0,0,0,0,1,3,1,0,1,15:56.0,17:10.0,19:37.0,21:06.0,20:58.0,18:57.0,,,,
B. Pineda,Center,2,0,0,0,2,0.8,'1-5,'0-1,'0-1,'0-0,'1-2,22.22%,'1-3,'0-0,'0-0,'0-0,'1-2,40.00%,'0-2,'0-1,'0-1,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,1,0,0,0,1,0.4,0,2,0,0,0,0.4,1,2,0,0,1,0.8,1,0,0,1,0,0.4,0,0,0,1,0,0.2,0,0,0,0,0,0,1,0,2,1,0,0.8,06:13.0,03:19.0,03:41.0,02:20.0,03:38.0,03:50.0,,,,
R. Dionisio,Small Forward,0,3,0,0,2,1,'0-0,'1-2,'0-0,'0-0,'0-1,33.33%,'0-0,'1-2,'0-0,'0-0,'0-1,33.33%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'1-2,'0-0,'0-0,'2-2,75.00%,1,1,1,0,1,0.8,1,2,3,3,1,2,2,3,4,3,2,2.8,0,0,0,1,1,0.4,0,0,1,0,1,0.4,0,0,0,0,0,0,2,3,0,1,0,1.2,08:21.0,16:37.0,16:10.0,06:31.0,08:25.0,11:12.0,,,,
N. Danganan,Shooting Guard,4,6,0,4,9,4.6,'1-8,'2-6,'0-5,'2-4,'4-9,28.13%,'0-3,'0-3,'0-1,'2-3,'4-9,31.58%,'1-5,'2-3,'0-4,'0-1,'0-0,23.08%,'1-2,'0-0,'0-0,'0-0,'1-2,50.00%,3,2,4,1,4,2.8,2,2,1,1,2,1.6,5,4,5,2,6,4.4,0,1,0,1,0,0.4,1,0,3,1,1,1.2,0,0,0,0,1,0.2,0,0,1,3,0,0.8,16:11.0,11:33.0,17:40.0,12:09.0,13:32.0,14:13.0,,,,
B. Bajo,Power Forward,0,2,4,0,0,1.2,'0-2,'1-2,'2-5,'0-1,'0-1,27.27%,'0-1,'1-1,'2-4,'0-1,'0-1,37.50%,'0-1,'0-1,'0-1,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,1,2,1,0.8,1,0,3,0,1,1,1,0,4,2,2,1.8,1,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4,06:03.0,06:26.0,09:50.0,03:40.0,09:41.0,07:08.0,,,,
Z. Cortez,Center,0,0,0,0,0,0,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,1,0,0.2,0,0,0,1,1,0.4,0,0,0,2,1,0.6,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,04:01.0,01:44.0,01:24.0,03:09.0,02:00.0,02:27.0,,,,
C. Padilla,Power Forward,3,1,6,4,0,2.8,'1-8,'0-6,'2-4,'1-6,'0-2,15.38%,'0-0,'0-2,'0-0,'0-1,'0-2,0.00%,'1-8,'0-4,'2-4,'1-5,'0-0,19.05%,'0-0,'1-2,'0-0,'1-3,'0-0,40.00%,0,0,0,1,0,0.2,5,2,0,0,0,1.4,5,2,0,1,0,1.6,1,2,1,4,2,2,2,3,0,3,1,1.8,0,0,0,0,0,0,6,1,0,3,1,2.2,26:17.0,21:18.0,21:11.0,23:02.0,20:22.0,22:26.0,,,,
A. Delos Santos,Center,0,0,2,4,0,1.2,'0-0,'0-0,'1-1,'2-2,'0-0,100.00%,'0-0,'0-0,'1-1,'2-2,'0-0,100.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,1,0,0,0.2,0,0,0,1,0,0.2,0,0,1,1,0,0.4,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,00:16.0,00:39.0,02:22.0,03:05.0,00:55.0,01:27.0,,,,
N. Ornopia,Small Forward,0,0,10,2,4,3.2,'0-1,'0-3,'5-11,'1-1,'2-2,44.44%,'0-1,'0-3,'5-11,'1-1,'2-2,44.44%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,1,1,0,0,0.4,1,2,4,1,0,1.6,1,3,5,1,0,2,0,0,1,0,0,0.2,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,2,0,0.4,02:23.0,11:47.0,19:01.0,03:29.0,04:12.0,08:10.0,,,,
N. Manlimos,Small Forward,2,0,3,0,0,1,'1-2,'0-2,'1-5,'0-0,'0-0,22.22%,'1-2,'0-2,'1-4,'0-0,'0-0,25.00%,'0-0,'0-0,'0-1,'0-0,'0-0,0.00%,'0-2,'0-0,'1-2,'0-0,'0-0,25.00%,1,0,1,0,0,0.4,0,0,0,0,0,0,1,0,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,01:36.0,01:10.0,06:53.0,00:32.0,03:49.0,02:48.0,,,,
