NAME,Team,Pos,S,,,,,,Total Sets,K,,,,,,Tot K,Ave K,E,,,,,,Tot Err,Ave E,TA,,,,,,Tot Att,Ave Att,PCT,,,,,,Ave Hit PCT,A,,,,,,Tot Ass,Ave Ass,SA,,,,,,Tot SA,Ave Ace,SE,,,,,,Tot SE,Ave SE,RE,,,,,,Tot RE,Ave RE,DIG,,,,,,Tot Dig,Ave Dig,BS,,,,,,Tot BS,BA,,,,,,Tot BA,Total Blk,Ave Blk,BE,,,,,,Tot BE,Ave BE,PTS,,,,,,Tot Pts,Ave Pts,Tot Err,,,,,,Ave Err
,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,
R. Robins,Louisville,OPP,3,5,3,4,4,4,23,8,2,7,6,5,2,30,1.3,1,4,0,3,2,2,12,0.52,16,15,10,10,11,6,68,2.96,0.438,-0.133,0.7,0.3,0.273,0,0.069,0,1,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,7,2,2,16,0.7,0,1,0,0,0,0,1,2,5,1,1,0,1,10,11,0.48,0,0,0,0,0,0,0,0,9,5.5,7.5,6.5,5,2.5,36,1.57,1,4,0,3,2,2,0.52
N. Cabello,Louisville,S,3,5,3,4,4,4,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.09,1,0,1,1,2,4,9,0.39,0,0,0,-1,0,-0.25,-0.054,16,19,23,29,44,31,162,7.04,2,0,3,0,2,1,8,0.35,1,1,1,0,1,3,7,0.3,0,0,0,0,0,0,0,0,9,7,4,10,8,10,48,2.09,0,0,0,0,0,0,0,1,0,0,1,3,3,8,8,0.35,0,0,0,0,0,2,2,0.09,2.5,0,3,0.5,3.5,2.5,12,0.52,1,1,1,1,1,6,0.48
S. M. Diaz,Louisville,OH,3,5,3,4,4,4,23,9,7,7,12,14,20,69,3,2,5,1,2,3,4,17,0.74,19,23,14,26,31,40,153,6.65,0.368,0.087,0.429,0.385,0.355,0.4,0.088,1,0,0,0,1,0,2,0.09,0,0,0,0,1,0,1,0.04,0,0,1,1,1,0,3,0.13,0,0,0,0,0,0,0,0,2,2,2,4,4,6,20,0.87,1,1,0,1,0,0,3,4,6,3,6,1,5,25,28,1.22,0,0,0,0,0,0,0,0,12,11,8.5,16,15.5,22.5,85.5,3.72,2,5,2,3,4,4,0.87
K. Schrand,Louisville,L,3,5,3,4,4,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.04,1,1,0,0,1,0,3,0.13,0,2,1,0,1,1,5,0.22,0,0,0,0,0,0,0,0,5,1,1,1,1,3,12,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0.13,0,2,1,0,1,1,0.22
E. Scott,Louisville,L,3,5,3,4,4,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,7,5,7,36,1.57,1,2,0,0,1,0,4,0.17,1,0,1,2,1,0,5,0.22,0,1,0,1,0,1,3,0.13,13,26,8,13,14,24,98,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,4,0.17,1,1,1,3,1,1,0.35
H. Sherman,Louisville,MB,3,5,0,0,0,4,12,3,0,0,0,0,1,4,0.33,2,0,0,0,0,0,2,0.17,6,1,0,0,0,5,12,1,0.167,0,0,0,0,0.2,0.031,1,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.08,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0.17,0,0,0,0,0,0,0,7,4,0,0,0,4,15,15,1.25,0,1,0,0,0,1,2,0.17,6.5,2,0,0,0,3,11.5,0.96,2,1,0,0,0,2,0.42
S. Untiedti,Louisville,L,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Debeer,Louisville,OH,3,5,3,4,4,0,19,7,19,15,15,14,0,70,3.68,3,5,4,6,4,0,22,1.16,17,50,28,45,38,0,178,9.37,0.235,0.28,0.393,0.2,0.263,0,0.072,0,0,2,0,1,0,3,0.16,0,0,0,1,0,0,1,0.05,0,4,3,4,0,0,11,0.58,0,0,0,2,2,0,4,0.21,5,11,7,6,9,0,38,2,0,0,0,1,2,0,3,0,4,0,1,1,0,6,9,0.47,0,0,0,1,1,0,2,0.11,7,21,15,17.5,16.5,0,77,4.05,3,9,7,13,7,0,2.05
A. Bankston,Louisville,OH,3,0,0,0,0,0,3,2,0,0,0,0,0,2,0.67,4,0,0,0,0,0,4,1.33,8,0,0,0,0,0,8,2.67,-0.25,0,0,0,0,0,-0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.67,4,0,0,0,0,0,1.33
O. Babcock,Pittsburgh,OPP,3,3,5,3,4,0,18,12,13,31,13,33,0,102,5.67,4,8,11,1,8,0,32,1.78,29,36,69,32,65,0,231,12.83,0.276,0.139,0.29,0.375,0.385,0,0.081,1,1,0,0,2,0,4,0.22,2,2,0,1,0,0,5,0.28,2,2,4,5,1,0,14,0.78,0,0,0,0,0,0,0,0,11,4,12,7,5,0,39,2.17,0,0,0,0,0,0,0,2,4,3,3,2,0,14,14,0.78,0,0,0,0,0,0,0,0,15,17,32.5,15.5,34,0,114,6.33,6,10,15,6,9,0,2.56
R. Fairbanks,Pittsburgh,OPP,3,3,5,3,4,0,18,1,2,1,1,1,0,6,0.33,0,0,1,0,0,0,1,0.06,3,3,4,1,4,0,15,0.83,0.333,0.667,0,1,0.25,0,0.125,33,36,54,31,53,0,207,11.5,5,0,1,1,1,0,8,0.44,0,0,1,1,1,0,3,0.17,0,0,0,0,0,0,0,0,8,4,12,5,10,0,39,2.17,0,0,0,0,0,0,0,0,2,1,2,1,0,6,6,0.33,0,0,0,0,0,0,0,0,6,3,2.5,3,2.5,0,17,0.94,0,0,2,1,1,0,0.22
R. Jones,Pittsburgh,MB,3,3,5,3,4,0,18,3,2,3,2,2,0,12,0.67,1,0,0,0,1,0,2,0.11,8,5,8,3,4,0,28,1.56,0.25,0.4,0.375,0.667,0.25,0,0.108,0,1,0,1,1,0,3,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0.17,1,1,0,0,0,0,2,2,3,2,1,2,0,10,12,0.67,0,0,0,1,0,0,1,0.06,5,4.5,4,2.5,3,0,19,1.06,1,0,0,1,1,0,0.17
B. Kelley,Pittsburgh,MB,0,3,5,3,4,0,15,0,6,12,8,7,0,33,2.2,0,0,2,1,2,0,5,0.33,,11,25,14,16,0,66,4.4,0,0.545,0.4,0.5,0.313,0,0.117,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,4,0.27,0,0,2,0,0,0,2,0,5,6,5,1,0,17,19,1.27,0,1,1,0,0,0,2,0.13,0,8.5,17,10.5,7.5,0,43.5,2.9,0,1,3,1,2,0,0.47
T. Stafford,Pittsburgh,OH,3,3,5,3,4,0,18,14,10,14,6,18,0,62,3.44,4,4,2,4,4,0,18,1,32,28,43,17,42,0,162,9,0.313,0.214,0.279,0.118,0.333,0,0.07,1,1,1,2,3,0,8,0.44,1,0,1,0,0,0,2,0.11,1,3,1,0,2,0,7,0.39,0,1,4,1,2,0,8,0.44,6,9,12,8,15,0,50,2.78,0,0,0,1,1,0,2,2,0,3,0,0,0,5,7,0.39,0,0,0,0,0,0,0,0,16,10,16.5,7,19,0,68.5,3.81,5,8,7,5,8,0,1.83
V. V. Gomez,Pittsburgh,OH,3,3,5,3,4,0,18,7,10,1,7,8,0,33,1.83,4,5,3,3,5,0,20,1.11,17,21,10,17,22,0,87,4.83,0.176,0.238,-0.2,0.235,0.136,0,0.033,0,2,1,0,1,0,4,0.22,2,1,3,0,1,0,7,0.39,1,0,1,0,1,0,3,0.17,0,1,4,0,4,0,9,0.5,6,4,11,4,5,0,30,1.67,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0.11,0,0,0,0,1,0,1,0.06,9.5,11.5,4,7,9,0,41,2.28,5,6,8,3,11,0,1.83
