Name,Position,Unnamed: 2,Unnamed: 3,Points,Unnamed: 5,Unnamed: 6,PPG,Unnamed: 8,Unnamed: 9,'FG,Unnamed: 11,Unnamed: 12,FG%,Unnamed: 14,Unnamed: 15,'2pt,Unnamed: 17,Unnamed: 18,2p%,Unnamed: 20,Unnamed: 21,'3pt,Unnamed: 23,Unnamed: 24,3p%,Unnamed: 26,Unnamed: 27,'FT,Unnamed: 29,Unnamed: 30,FT%,Unnamed: 32,Unnamed: 33,OFF,Unnamed: 35,Unnamed: 36,OFFPG,Unnamed: 38,Unnamed: 39,DEF,Unnamed: 41,Unnamed: 42,DEFPG,Unnamed: 44,Unnamed: 45,REB,Unnamed: 47,Unnamed: 48,RPG,Unnamed: 50,Unnamed: 51,AST,Unnamed: 53,Unnamed: 54,APG,Unnamed: 56,Unnamed: 57,STL,Unnamed: 59,Unnamed: 60,SPG,Unnamed: 62,Unnamed: 63,BLK,Unnamed: 65,Unnamed: 66,BPG,Unnamed: 68,Unnamed: 69,TO,Unnamed: 71,Unnamed: 72,TOPG,Unnamed: 74,Unnamed: 75,MIN,Unnamed: 77,Unnamed: 78,Ave Mins,Unnamed: 80,Unnamed: 81,Unnamed: 82,Point Guard,Player_Number,Composite_Score,Rating,Rank,Overall_Composite_Score,Overall_Rank
R. Lacayanga,Shooting Guard,6,8,13,19,10,11.2,'3-15,'4-12,'4-15,'7-25,'4-14,27.16%,'3-11,'4-10,'2-7,'5-13,'4-11,34.62%,'0-4,'0-2,'2-8,'2-12,'0-3,13.79%,'0-0,'0-0,'3-4,'3-4,'2-8,50.00%,1,2,3,3,2,2.2,6,7,7,5,8,6.6,7,9,10,8,10,8.8,1,1,1,0,0,0.6,2,2,2,2,5,2.6,0,0,1,1,0,0.4,6,3,2,6,5,4.4,25:11.0,29:30.0,25.116666666666667,30:02.0,29:43.0,27:54.0,0.0,0.0,0.0,0,183,30.296666666666667,66.80914885639294,8.0,30.296666666666667,44.0
I. Yanez,Shooting Guard,0,0,0,2,3,1.0,'0-0,'0-2,'0-4,'0-5,'1-8,5.26%,'0-0,'0-0,'0-0,'0-4,'1-3,14.29%,'0-0,'0-2,'0-4,'0-1,'0-5,0.00%,'0-0,'0-0,'0-0,'2-2,'1-2,75.00%,0,0,0,1,0,0.2,0,0,3,1,5,1.8,0,0,3,2,5,2.0,1,0,0,0,1,0.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,6,2,0,4,2.4,03:15.0,07:11.0,8.55,17:50.0,18:50.0,11:07.0,0.0,0.0,0.0,0,185,7.32,15.118110236220472,35.0,7.32,160.0
M. Rodriguez,Shooting Guard,1,0,3,0,0,0.8,'0-1,'0-1,'1-1,'0-1,'0-1,20.00%,'0-0,'0-0,'0-0,'0-1,'0-1,0.00%,'0-1,'0-1,'1-1,'0-0,'0-0,33.33%,'1-2,'0-0,'0-0,'0-0,'0-0,50.00%,0,2,0,1,0,0.6,1,0,0,2,0,0.6,1,2,0,3,0,1.2,1,0,0,0,0,0.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,1,2,4,1,1.8,09:03.0,01:36.0,4.616666666666667,10:54.0,02:20.0,05:42.0,0.0,0.0,0.0,0,196,3.5966666666666676,6.741657292838396,42.0,3.5966666666666676,183.0
B. Dalisay,Shooting Guard,2,0,7,3,3,3.0,'1-3,'0-1,'3-9,'1-4,'1-4,28.57%,'1-2,'0-1,'2-3,'1-2,'1-2,50.00%,'0-1,'0-0,'1-6,'0-2,'0-2,9.09%,'0-0,'0-0,'0-0,'1-2,'1-2,50.00%,1,2,0,1,2,1.2,2,1,4,9,0,3.2,3,3,4,10,2,4.4,3,1,1,5,5,3.0,0,0,1,1,1,0.6,0,0,0,0,0,0.0,1,7,2,3,4,3.4,22:05.0,11:29.0,21.8,30:24.0,23:03.0,21:45.0,0.0,0.0,0.0,0,200,22.330000000000002,48.88638920134983,19.0,22.330000000000002,89.0
A. Bacierto,Shooting Guard,4,4,0,4,2,2.8,'2-4,'2-8,'0-3,'2-4,'1-1,35.00%,'2-3,'2-4,'0-3,'2-4,'1-1,46.67%,'0-1,'0-4,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-2,0.00%,2,0,1,1,2,1.2,3,0,2,2,2,1.8,5,0,3,3,4,3.0,1,0,0,1,1,0.6,1,3,0,1,1,1.2,0,0,0,0,0,0.0,0,0,1,4,1,1.2,18:37.0,18:09.0,11.95,21:28.0,11:03.0,16:14.0,0.0,0.0,0.0,0,203,13.81,29.718785151856018,29.0,13.81,133.0
M. Manguiat,Shooting Guard,15,4,9,16,22,13.2,'3-12,'1-5,'3-10,'6-13,'7-14,37.04%,'2-6,'0-1,'2-4,'3-4,'2-2,52.94%,'1-6,'1-4,'1-6,'3-9,'5-12,29.73%,'8-12,'1-4,'2-2,'1-2,'3-4,62.50%,1,0,0,2,3,1.2,2,2,4,5,2,3.0,3,2,4,7,5,4.2,2,4,4,3,1,2.8,2,0,0,0,2,0.8,0,0,0,0,0,0.0,11,2,2,2,4,4.2,37:09.0,30:04.0,35.55,35:10.0,37:35.0,35:06.0,0.0,0.0,0.0,0,207,39.86999999999999,88.34645669291335,2.0,39.86999999999999,11.0
Y. Villanueva,Shooting Guard,5,7,7,15,10,8.8,'2-6,'3-7,'1-5,'6-10,'4-11,41.03%,'1-3,'2-4,'1-3,'3-4,'2-9,39.13%,'1-3,'1-3,'0-2,'3-6,'2-2,43.75%,'0-0,'0-0,'5-5,'0-0,'0-1,83.33%,2,2,1,4,2,2.2,3,0,5,2,3,2.6,5,2,6,6,5,4.8,0,0,2,0,2,0.8,0,0,0,1,2,0.6,0,0,2,2,1,1.0,2,2,1,1,4,2.0,20:36.0,20:00.0,19.933333333333334,22:02.0,29:57.0,22:30.0,0.0,0.0,0.0,0,208,24.333333333333336,53.39332583427071,14.0,24.333333333333336,72.0
M. Paras,Shooting Guard,2,4,4,1,2,2.6,'1-2,'2-5,'2-2,'0-0,'1-3,50.00%,'1-2,'2-5,'2-2,'0-0,'1-3,50.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'1-2,'0-0,50.00%,1,2,0,0,1,0.8,0,3,2,0,0,1.0,1,5,2,0,1,1.8,0,2,0,1,0,0.6,0,0,0,1,0,0.2,0,0,0,0,0,0.0,1,0,1,0,1,0.6,13:11.0,26:07.0,20.966666666666665,07:31.0,11:10.0,15:47.0,0.0,0.0,0.0,0,210,22.376666666666665,48.99137607799024,17.0,22.376666666666665,87.0
J. Nagma,Shooting Guard,6,2,2,2,5,3.4,'3-3,'1-3,'1-4,'1-2,'2-6,44.44%,'3-3,'1-3,'1-4,'1-2,'2-6,44.44%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'1-2,50.00%,3,1,1,0,2,1.4,2,1,1,2,5,2.2,5,2,2,2,7,3.6,0,0,0,1,0,0.2,2,1,1,0,0,0.8,0,0,0,0,0,0.0,1,0,1,2,2,1.2,24:15.0,16:19.0,18.416666666666668,14:09.0,28:00.0,20:13.0,0.0,0.0,0.0,0,212,20.36666666666667,44.46944131983502,22.0,20.36666666666667,106.0
J. Libor,Shooting Guard,8,2,0,5,0,3.0,'2-7,'0-9,'0-2,'2-6,'0-0,16.67%,'1-4,'0-4,'0-1,'1-4,'0-0,15.38%,'1-3,'0-5,'0-1,'1-2,'0-0,18.18%,'3-4,'2-2,'0-0,'0-0,'0-0,83.33%,0,0,0,1,1,0.4,5,1,1,3,1,2.2,5,1,1,4,2,2.6,1,0,1,0,3,1.0,1,0,0,0,0,0.2,0,0,0,0,0,0.0,2,2,2,0,5,2.2,19:48.0,15:51.0,8.0,12:11.0,08:58.0,12:57.0,0.0,0.0,0.0,0,213,8.350000000000001,17.435320584926885,34.0,8.350000000000001,158.0
